"Gene","Driving_Comparison","LFC"
"ENSRNOG00000005996","THC_O3_vs_VEH",1.83780703555064
"ENSRNOG00000005998","VEH_O3_vs_VEH",1.65833510288095
"ENSRNOG00000006004","THC_O3_vs_VEH",-0.470848390602732
"ENSRNOG00000006019","VEH_O3_vs_VEH",-2.10956615054897
"ENSRNOG00000006028","THC_O3_vs_VEH",0.566626493689141
"ENSRNOG00000006048","VEH_O3_vs_VEH",0.641553650375852
"ENSRNOG00000006069","THC_O3_vs_VEH",0.561158675058121
"ENSRNOG00000006087","THC_O3_vs_VEH",0.382871010840636
"ENSRNOG00000006112","THC_O3_vs_VEH",0.918751023556156
"ENSRNOG00000006122","VEH_O3_vs_VEH",1.04094603274579
"ENSRNOG00000006178","THC_O3_vs_VEH",1.77122140898784
"ENSRNOG00000006185","THC_O3_vs_VEH",1.44977242202172
"ENSRNOG00000006241","THC_O3_vs_VEH",0.905012614316031
"ENSRNOG00000006244","THC_O3_vs_VEH",-0.502247248863462
"ENSRNOG00000006283","THC_O3_vs_VEH",-0.949086689368946
"ENSRNOG00000006298","THC_O3_vs_VEH",0.868276518541131
"ENSRNOG00000006306","THC_O3_vs_VEH",-0.949507593658049
"ENSRNOG00000006334","THC_O3_vs_VEH",1.2332633045513
"ENSRNOG00000006338","THC_O3_vs_VEH",1.05364348329681
"ENSRNOG00000006378","THC_O3_vs_VEH",1.26577674552768
"ENSRNOG00000006419","VEH_O3_vs_VEH",-0.679740367116664
"ENSRNOG00000006420","THC_vs_VEH",-0.936540935716444
"ENSRNOG00000006444","THC_O3_vs_VEH",-0.576056237497853
"ENSRNOG00000006500","THC_O3_vs_VEH",-0.743894417719803
"ENSRNOG00000006515","THC_O3_vs_VEH",0.977553531427507
"ENSRNOG00000006545","THC_vs_VEH",0.264843567643982
"ENSRNOG00000006559","THC_O3_vs_VEH",0.820689434990478
"ENSRNOG00000006611","THC_vs_VEH",-0.527772704674252
"ENSRNOG00000006628","THC_O3_vs_VEH",1.0875417762108
"ENSRNOG00000006644","THC_O3_vs_VEH",0.588867542145996
"ENSRNOG00000006711","VEH_O3_vs_VEH",0.639374048400385
"ENSRNOG00000006718","THC_O3_vs_VEH",1.09224702351048
"ENSRNOG00000006796","THC_O3_vs_VEH",0.592116873706637
"ENSRNOG00000006816","THC_O3_vs_VEH",0.777189233104298
"ENSRNOG00000006830","THC_O3_vs_VEH",2.06756646881591
"ENSRNOG00000006832","THC_O3_vs_VEH",0.515966707925478
"ENSRNOG00000006868","VEH_O3_vs_VEH",0.72336596685317
"ENSRNOG00000006870","THC_O3_vs_VEH",0.721615793715849
"ENSRNOG00000006893","THC_O3_vs_VEH",1.19000743329464
"ENSRNOG00000006905","THC_O3_vs_VEH",0.71183067016907
"ENSRNOG00000006913","THC_O3_vs_VEH",-0.542701246239244
"ENSRNOG00000006921","THC_O3_vs_VEH",1.23017287813784
"ENSRNOG00000006940","VEH_O3_vs_VEH",-1.5902713375828
"ENSRNOG00000006952","THC_O3_vs_VEH",1.06763133715836
"ENSRNOG00000006967","THC_O3_vs_VEH",1.03588524572469
"ENSRNOG00000006976","THC_O3_vs_VEH",-0.551816543425796
"ENSRNOG00000006980","THC_O3_vs_VEH",0.611266637374453
"ENSRNOG00000006987","THC_O3_vs_VEH",1.300381445881
"ENSRNOG00000007040","THC_O3_vs_VEH",-0.499716029150316
"ENSRNOG00000007044","THC_O3_vs_VEH",2.49709461737086
"ENSRNOG00000007047","THC_vs_VEH",-0.380577167368428
"ENSRNOG00000007054","THC_O3_vs_VEH",1.43545709435526
"ENSRNOG00000007088","THC_O3_vs_VEH",0.538620377017501
"ENSRNOG00000007099","THC_O3_vs_VEH",0.839438749586788
"ENSRNOG00000007104","THC_O3_vs_VEH",1.58677297722784
"ENSRNOG00000007115","THC_O3_vs_VEH",1.2029951345637
"ENSRNOG00000007174","THC_O3_vs_VEH",-0.549497564708673
"ENSRNOG00000007175","THC_O3_vs_VEH",0.196511178507114
"ENSRNOG00000007213","THC_O3_vs_VEH",-0.360267847635393
"ENSRNOG00000007224","THC_O3_vs_VEH",1.24693551977969
"ENSRNOG00000007235","THC_O3_vs_VEH",-0.672904675834327
"ENSRNOG00000007241","THC_O3_vs_VEH",0.660699758115804
"ENSRNOG00000007242","THC_O3_vs_VEH",1.21974289731
"ENSRNOG00000007246","THC_O3_vs_VEH",1.43472866752273
"ENSRNOG00000007272","THC_vs_VEH",0.310292526154259
"ENSRNOG00000007304","THC_O3_vs_VEH",0.684222394390092
"ENSRNOG00000007315","THC_O3_vs_VEH",1.48165731662766
"ENSRNOG00000007350","THC_vs_VEH",-1.0758610009085
"ENSRNOG00000007387","VEH_O3_vs_VEH",0.785219694194345
"ENSRNOG00000007407","VEH_O3_vs_VEH",-0.614457075056321
"ENSRNOG00000007440","THC_O3_vs_VEH",0.976907928392787
"ENSRNOG00000007457","THC_vs_VEH_O3",2.2048427705357
"ENSRNOG00000007475","VEH_O3_vs_VEH",-1.49935460267872
"ENSRNOG00000007485","VEH_O3_vs_VEH",0.33600417305032
"ENSRNOG00000007515","VEH_O3_vs_VEH",0.416003620748233
"ENSRNOG00000007518","THC_O3_vs_VEH",0.744132432096479
"ENSRNOG00000007542","VEH_O3_vs_VEH",-2.40288407916632
"ENSRNOG00000007548","THC_O3_vs_VEH",0.412454064616265
"ENSRNOG00000007583","THC_O3_vs_VEH",1.31482458041301
"ENSRNOG00000007587","THC_vs_VEH_O3",0.518991498120212
"ENSRNOG00000007648","THC_O3_vs_VEH",-0.412837586049388
"ENSRNOG00000007678","THC_O3_vs_VEH",0.718845144626994
"ENSRNOG00000007720","THC_O3_vs_THC",-0.260621798618736
